ID,Parent Company,Acquisition Year,Acquisition Month,Acquired Company,Business,Country,Acquisition Price,Category,Derived Products,Acquisition Date
428,Google,2003,2,Pyra Labs,Weblog software,-,,-,Blogger,2003-02-01
429,Google,2003,4,Neotonic Software,Customer relationship management,-,,-,"Google Groups, Gmail",2003-04-01
430,Google,2003,4,Applied Semantics,Online advertising,-,102000000.0,-,"AdSense, AdWords",2003-04-01
431,Google,2003,9,Kaltix,Web search engine,-,,-,iGoogle,2003-09-01
432,Google,2003,10,Sprinks,Online advertising,-,,-,"AdSense, AdWords",2003-10-01
433,Google,2003,10,Genius Labs,Blogging,-,,-,Blogger,2003-10-01
434,Google,2004,5,Ignite Logic,HTML editor,-,,-,Google Sites,2004-05-01
435,Google,2004,7,Picasa,Image organizer,-,,-,"Picasa, Blogger",2004-07-01
436,Google,2004,9,ZipDash,Traffic analysis,-,,-,Google Maps,2004-09-01
437,Google,2004,10,Where2,Map analysis,-,,-,Google Maps,2004-10-01
438,Google,2004,10,Keyhole,Map analysis,-,,-,"Google Maps, Google Earth",2004-10-01
439,Google,2005,3,Urchin Software Corporation,Web analytics,-,,-,Google Analytics,2005-03-01
440,Google,2005,5,Dodgeball,Social networking service,-,,-,Google Latitude,2005-05-01
441,Google,2005,7,Akwan Information Technologies,Search engines,-,,-,Internet backbone,2005-07-01
442,Google,2005,7,Reqwireless,Mobile browser,-,,-,Google Mobile,2005-07-01
443,Google,2005,8,Android,Mobile operating system,-,50000000.0,-,Android,2005-08-01
444,Google,2005,11,Skia,Graphics library,-,,-,Skia,2005-11-01
445,Google,2005,12,Phatbits,Widget engine,-,,-,Google Desktop,2005-12-01
446,Google,2005,12,allPAY,Mobile software,-,,-,Google Mobile,2005-12-01
447,Google,2005,12,bruNET,Mobile software,-,,-,Google Mobile,2005-12-01
448,Google,2006,1,dMarc Broadcasting,Advertising,-,102000000.0,-,AdSense,2006-01-01
449,Google,2006,2,Measure Map,Weblog software,-,,-,Google Analytics,2006-02-01
450,Google,2006,3,Upstartle,Word processor,-,,-,Google Docs,2006-03-01
451,Google,2006,3,@Last Software,3D modeling software,-,,-,Google Sketchup,2006-03-01
452,Google,2006,4,Orion,Web search engine,-,,-,Google Search,2006-04-01
453,Google,2006,6,2Web Technologies,Online spreadsheets,-,,-,Google Spreadsheet,2006-06-01
454,Google,2006,8,Neven Vision Germany,Computer vision,-,,-,"Picasa, Google Goggles",2006-08-01
455,Google,2006,10,YouTube,Video sharing,-,,-,YouTube,2006-10-01
456,Google,2006,10,JotSpot,Web application,-,,-,Google Sites,2006-10-01
457,Google,2006,12,Endoxon,Mapping,-,28000000.0,-,Google Maps,2006-12-01
458,Google,2007,2,Adscape,In-game advertising,-,23000000.0,-,AdSense,2007-02-01
459,Google,2007,3,Trendalyzer,Statistical software,-,,-,Google Analytics,2007-03-01
460,Google,2007,5,Crusix,Social networking service,-,,-,YouTube,2007-05-01
461,Google,2007,4,Tonic Systems,Presentation program,-,,-,Google Docs,2007-04-01
462,Google,2007,4,Marratech,Videoconferencing,-,15000000.0,-,"Google Talk, Google Hangouts",2007-04-01
463,Google,2007,4,DoubleClick,Online advertising,-,,-,AdSense,2007-04-01
464,Google,2007,5,GreenBorder,Computer security,-,,-,Google Chrome,2007-05-01
465,Google,2007,6,Panoramio,Photo sharing,-,,-,Panoramio,2007-06-01
466,Google,2007,6,FeedBurner,Web feed,-,100000000.0,-,FeedBurner,2007-06-01
467,Google,2007,6,PeakStream,Parallel processing,-,,-,Android,2007-06-01
468,Google,2007,6,Zenter,Presentation program,-,,-,Google Docs,2007-06-01
469,Google,2007,7,GrandCentral,Voice over IP,-,45000000.0,-,Google Voice,2007-07-01
470,Google,2007,7,ImageAmerica,Aerial photography,-,,-,Google Maps,2007-07-01
471,Google,2007,7,Postini,Communications security,-,625000000.0,-,Gmail,2007-07-01
472,Google,2007,9,Zingku,Social networking service,-,,-,Google Mobile,2007-09-01
473,Google,2007,10,Jaiku,Microblogging,-,,-,Google Mobile,2007-10-01
474,Google,2008,7,Omnisio,Online video,-,15000000.0,-,YouTube,2008-07-01
475,Google,2008,9,TNC,Weblog software,-,,-,Blogger,2008-09-01
476,Google,2009,8,On2,Video compression,-,133000000.0,-,"WebM, YouTube",2009-08-01
477,Google,2009,9,reCAPTCHA,Security,-,,-,"Google Books, reCAPTCHA",2009-09-01
478,Google,2009,11,AdMob,Mobile advertising,-,,-,"DoubleClick, Invite Media",2009-11-01
479,Google,2009,11,Gizmo5,Voice over IP,-,30000000.0,-,"Google Talk, Google Hangouts",2009-11-01
480,Google,2009,11,Teracent,Online advertising,-,,-,AdSense,2009-11-01
481,Google,2009,12,AppJet,Collaborative real-time editor,-,,-,"Google Wave, Google Docs",2009-12-01
482,Google,2010,2,Aardvark,Social search,-,50000000.0,-,Aardvark,2010-02-01
483,Google,2010,2,reMail,Email search,-,,-,Gmail,2010-02-01
484,Google,2010,3,Picnik,Photo editing,-,,-,Picasa,2010-03-01
485,Google,2010,3,DocVerse,Microsoft Office files sharing site,-,25000000.0,-,Google Docs,2010-03-01
486,Google,2010,4,Episodic,Online video platform start-up,-,,-,YouTube,2010-04-01
487,Google,2010,4,Plink,Visual search engine,-,,-,Google Goggles,2010-04-01
488,Google,2010,4,Agnilux,Server CPUs,-,,-,Android,2010-04-01
489,Google,2010,4,LabPixies,Gadgets,-,,-,"iGoogle, Android",2010-04-01
490,Google,2010,4,BumpTop,Desktop environment,-,30000000.0,-,Android,2010-04-01
491,Google,2010,5,Global IP Solutions,Video and audio compression,-,68200000.0,-,WebRTC,2010-05-01
492,Google,2010,5,Simplify Media,Music streaming,-,,-,Android,2010-05-01
493,Google,2010,5,Ruba.com,Travel,-,,-,iGoogle,2010-05-01
494,Google,2010,6,Invite Media,Advertising,-,81000000.0,-,DoubleClick,2010-06-01
495,Google,2010,7,Metaweb,Semantic search,-,,-,Google Search,2010-07-01
496,Google,2010,8,Zetawire,"Mobile payment, NFC",-,,-,"Android, Google Wallet, Google Checkout",2010-08-01
497,Google,2010,8,Instantiations,Java/Eclipse/AJAX developer tools,-,,-,Google Web Toolkit,2010-08-01
498,Google,2010,8,Slide.com,Social gaming,-,228000000.0,-,"Google+, Orkut, Google Play",2010-08-01
499,Google,2010,8,Jambool,Social Gold payment,-,70000000.0,-,"Google+, Orkut",2010-08-01
500,Google,2010,8,Like.com,Visual search engine,-,100000000.0,-,Google Shopping,2010-08-01
501,Google,2010,8,Angstro,Social networking service,-,,-,"Google, Google Alert",2010-08-01
502,Google,2010,8,SocialDeck,Social gaming,-,,-,"Google, Google+",2010-08-01
503,Google,2010,9,Quiksee,Online video,-,10000000.0,-,Google Maps,2010-09-01
504,Google,2010,9,Plannr,Schedule management,-,,-,Google+,2010-09-01
505,Google,2010,10,BlindType,Touch typing,-,,-,Android,2010-10-01
506,Google,2010,12,Phonetic Arts,Speech synthesis,-,,-,"Google Voice, Google Translate",2010-12-01
507,Google,2010,12,Widevine Technologies,DRM,-,,-,Google TV,2010-12-01
508,Google,2011,1,eBook Technologies,E-book,-,,-,Google Books,2011-01-01
509,Google,2011,1,SayNow,Voice recognition,-,,-,Google Voice,2011-01-01
